Hours,Lifetime Hourly Data: System power generated (kW),MW
366.5,3011.84,3.01184
367.5,11122.7,11.1227
368.5,27312.7,27.3127
369.5,37471.9,37.4719
370.5,49609.1,49.6091
371.5,44995.1,44.9951
372.5,54503.4,54.5034
373.5,54503.4,54.5034
374.5,53622.2,53.6222
375.5,44062.6,44.0626
376.5,31695.6,31.6956
377.5,16062.5,16.0625
378.5,2809.27,2.80927
379.5,202.067,0.202067
380.5,-7.08862,0
381.5,-7.08862,0
382.5,-7.08862,0
383.5,-7.08862,0
384.5,-7.08862,0
385.5,-7.08862,0
386.5,-7.08862,0
387.5,-7.08862,0
388.5,-7.08862,0
389.5,-7.08862,0
390.5,2467.26,2.46726
391.5,12555.8,12.5558
392.5,22339.9,22.3399
393.5,39821.2,39.8212
394.5,39727.2,39.7272
395.5,54503.4,54.5034
396.5,54114.8,54.1148
397.5,53073.2,53.0732
398.5,43445.7,43.4457
399.5,29592.2,29.5922
400.5,24165.9,24.1659
401.5,8900.6,8.9006
402.5,4225.66,4.22566
403.5,-7.08862,0
404.5,-7.08862,0
405.5,-7.08862,0
406.5,-7.08862,0
407.5,-7.08862,0
408.5,-7.08862,0
409.5,-7.08862,0
410.5,-7.08862,0
411.5,-7.08862,0
412.5,-7.08862,0
413.5,-7.08862,0
414.5,1288.43,1.28843
415.5,2320.97,2.32097
416.5,4133.12,4.13312
417.5,13454,13.454
418.5,17719,17.719
419.5,23616.1,23.6161
420.5,20842.5,20.8425
421.5,20830.9,20.8309
422.5,17658.6,17.6586
423.5,28532.7,28.5327
424.5,19470.8,19.4708
425.5,10685.7,10.6857
426.5,4814.4,4.8144
427.5,179.793,0.179793
428.5,-7.08862,0
429.5,-7.08862,0
430.5,-7.08862,0
431.5,-7.08862,0
432.5,-7.08862,0
433.5,-7.08862,0
434.5,-7.08862,0
435.5,-7.08862,0
436.5,-7.08862,0
437.5,-7.08862,0
438.5,2828.01,2.82801
439.5,9898.85,9.89885
440.5,26734.5,26.7345
441.5,29979.7,29.9797
442.5,48529.1,48.5291
443.5,43800.7,43.8007
444.5,45765.5,45.7655
445.5,46775.7,46.7757
446.5,46550.9,46.5509
447.5,35665.6,35.6656
448.5,27436.6,27.4366
449.5,9629.81,9.62981
450.5,4843.46,4.84346
451.5,97.7638,0.0977638
452.5,-7.08862,0
453.5,-7.08862,0
454.5,-7.08862,0
455.5,-7.08862,0
456.5,-7.08862,0
457.5,-7.08862,0
458.5,-7.08862,0
459.5,-7.08862,0
460.5,-7.08862,0
461.5,-7.08862,0
462.5,3021.52,3.02152
463.5,14426.1,14.4261
464.5,16098.4,16.0984
465.5,36897.1,36.8971
466.5,34391,34.391
467.5,41625.4,41.6254
468.5,37098.6,37.0986
469.5,41392.7,41.3927
470.5,34682.6,34.6826
471.5,39857.5,39.8575
472.5,27137.8,27.1378
473.5,13159.2,13.1592
474.5,4271.44,4.27144
475.5,219.6,0.2196
476.5,-7.08862,0
477.5,-7.08862,0
478.5,-7.08862,0
479.5,-7.08862,0
480.5,-7.08862,0
481.5,-7.08862,0
482.5,-7.08862,0
483.5,-7.08862,0
484.5,-7.08862,0
485.5,-7.08862,0
486.5,2430.28,2.43028
487.5,12800.8,12.8008
488.5,28877,28.877
489.5,42535.6,42.5356
490.5,51903.5,51.9035
491.5,54503.4,54.5034
492.5,52744.1,52.7441
493.5,54503.4,54.5034
494.5,53432.1,53.4321
495.5,45433,45.433
496.5,33574,33.574
497.5,17591.1,17.5911
498.5,5262.53,5.26253
499.5,96.1282,0.0961282
500.5,-7.08862,0
501.5,-7.08862,0
502.5,-7.08862,0
503.5,-7.08862,0
504.5,-7.08862,0
505.5,-7.08862,0
506.5,-7.08862,0
507.5,-7.08862,0
508.5,-7.08862,0
509.5,-7.08862,0
510.5,2643.05,2.64305
511.5,12797.7,12.7977
512.5,28625.4,28.6254
513.5,42015.3,42.0153
514.5,46615.4,46.6154
515.5,54503.4,54.5034
516.5,53925.3,53.9253
517.5,42892.7,42.8927
518.5,41177.7,41.1777
519.5,26488.7,26.4887
520.5,9918.2,9.9182
521.5,8388.3,8.3883
522.5,3720.87,3.72087
523.5,86.531,0.086531
524.5,-7.08862,0
525.5,-7.08862,0
526.5,-7.08862,0
527.5,-7.08862,0
528.5,-7.08862,0
529.5,-7.08862,0
530.5,-7.08862,0
531.5,-7.08862,0
532.5,-7.08862,0
533.5,-7.08862,0
534.5,2367.31,2.36731
535.5,12106,12.106
536.5,28837.8,28.8378
537.5,41496.5,41.4965
538.5,49099,49.099
539.5,43652.9,43.6529
540.5,54503.4,54.5034
541.5,54503.4,54.5034
542.5,38684.4,38.6844
543.5,34593.5,34.5935
544.5,23533.2,23.5332
545.5,9328.73,9.32873
546.5,4353.19,4.35319
547.5,-7.08862,0
548.5,-7.08862,0
549.5,-7.08862,0
550.5,-7.08862,0
551.5,-7.08862,0
552.5,-7.08862,0
553.5,-7.08862,0
554.5,-7.08862,0
555.5,-7.08862,0
556.5,-7.08862,0
557.5,-7.08862,0
558.5,3426.48,3.42648
559.5,10388.7,10.3887
560.5,20958.1,20.9581
561.5,24335,24.335
562.5,27959.1,27.9591
563.5,37337,37.337
564.5,18687.5,18.6875
565.5,26864.4,26.8644
566.5,26214.9,26.2149
567.5,15848,15.848
568.5,15349.9,15.3499
569.5,8543.9,8.5439
570.5,2633.05,2.63305
571.5,-7.08862,0
572.5,-7.08862,0
573.5,-7.08862,0
574.5,-7.08862,0
575.5,-7.08862,0
576.5,-7.08862,0
577.5,-7.08862,0
578.5,-7.08862,0
579.5,-7.08862,0
580.5,-7.08862,0
581.5,-7.08862,0
582.5,3090.37,3.09037
583.5,11629.1,11.6291
584.5,26188.2,26.1882
585.5,33980.1,33.9801
586.5,41788,41.788
587.5,51307.1,51.3071
588.5,23951.6,23.9516
589.5,17308,17.308
590.5,33103.6,33.1036
591.5,26995,26.995
592.5,11191.5,11.1915
593.5,6674.56,6.67456
594.5,4791.71,4.79171
595.5,67.9917,0.0679917
596.5,-7.08862,0
597.5,-7.08862,0
598.5,-7.08862,0
599.5,-7.08862,0
600.5,-7.08862,0
601.5,-7.08862,0
602.5,-7.08862,0
603.5,-7.08862,0
604.5,-7.08862,0
605.5,-7.08862,0
606.5,3509.23,3.50923
607.5,8442.17,8.44217
608.5,18667.4,18.6674
609.5,22034.5,22.0345
610.5,27593.1,27.5931
611.5,26547.9,26.5479
612.5,29547.8,29.5478
613.5,38332,38.332
614.5,20832.4,20.8324
615.5,17631.2,17.6312
616.5,11779.6,11.7796
617.5,7896.8,7.8968
618.5,3860.3,3.8603
619.5,65.584,0.065584
620.5,-7.08862,0
621.5,-7.08862,0
622.5,-7.08862,0
623.5,-7.08862,0
624.5,-7.08862,0
625.5,-7.08862,0
626.5,-7.08862,0
627.5,-7.08862,0
628.5,-7.08862,0
629.5,-7.08862,0
630.5,1764.11,1.76411
631.5,6356.44,6.35644
632.5,12057.4,12.0574
633.5,17158,17.158
634.5,20355.1,20.3551
635.5,24297.8,24.2978
636.5,18620.3,18.6203
637.5,20670,20.67
638.5,18963.3,18.9633
639.5,13060.3,13.0603
640.5,10219.4,10.2194
641.5,7024.18,7.02418
642.5,2933.39,2.93339
643.5,65.584,0.065584
644.5,-7.08862,0
645.5,-7.08862,0
646.5,-7.08862,0
647.5,-7.08862,0
648.5,-7.08862,0
649.5,-7.08862,0
650.5,-7.08862,0
651.5,-7.08862,0
652.5,-7.08862,0
653.5,-7.08862,0
654.5,888.473,0.888473
655.5,4892.13,4.89213
656.5,11524.5,11.5245
657.5,17635.4,17.6354
658.5,14411.6,14.4116
659.5,19876.1,19.8761
660.5,18341.1,18.3411
661.5,29883.4,29.8834
662.5,45667.6,45.6676
663.5,28937,28.937
664.5,28054.8,28.0548
665.5,16066.4,16.0664
666.5,3397.91,3.39791
667.5,174.434,0.174434
668.5,-7.08862,0
669.5,-7.08862,0
670.5,-7.08862,0
671.5,-7.08862,0
672.5,-7.08862,0
673.5,-7.08862,0
674.5,-7.08862,0
675.5,-7.08862,0
676.5,-7.08862,0
677.5,-7.08862,0
678.5,2964.15,2.96415
679.5,9930.97,9.93097
680.5,15561.3,15.5613
681.5,30455.4,30.4554
682.5,40795.9,40.7959
683.5,44459.2,44.4592
684.5,51851.3,51.8513
685.5,52582.8,52.5828
686.5,50660.4,50.6604
687.5,41021.7,41.0217
688.5,31667.3,31.6673
689.5,17691.5,17.6915
690.5,2786.02,2.78602
